    file problem time exit-status
306 145703__300__11_12_17__95.apx SE-GR 133 0
307 145703__300__11_12_17__95.apx EE-CO 405 0
308 145703__300__11_12_17__95.apx SE-CO 133 0
309 145703__300__11_12_17__95.apx EE-ST 343 0
310 145703__300__11_12_17__95.apx SE-ST 223 0
311 145703__300__11_12_17__95.apx EE-PR 405 0
312 145703__300__11_12_17__95.apx SE-PR 411 0
313 145796__300__14_14_18__74.apx EE-GR 128 0
314 145796__300__14_14_18__74.apx SE-GR 127 0
315 145796__300__14_14_18__74.apx EE-CO 303 0
316 145796__300__14_14_18__74.apx SE-CO 128 0
317 145796__300__14_14_18__74.apx EE-ST 247 0
318 145796__300__14_14_18__74.apx SE-ST 154 0
319 145796__300__14_14_18__74.apx EE-PR 301 0
320 145796__300__14_14_18__74.apx SE-PR 298 0
321 146780__400__14_15_41__8.apx EE-GR 103 0
322 146780__400__14_15_41__8.apx SE-GR 104 0
323 146780__400__14_15_41__8.apx EE-CO 250 0
324 146780__400__14_15_41__8.apx SE-CO 105 0
325 146780__400__14_15_41__8.apx EE-ST 161 0
326 146780__400__14_15_41__8.apx SE-ST 120 0
327 146780__400__14_15_41__8.apx EE-PR 257 0
328 146780__400__14_15_41__8.apx SE-PR 251 0
329 147966__300__8_8_14__81.apx EE-GR 115 0
330 147966__300__8_8_14__81.apx SE-GR 115 0
331 147966__300__8_8_14__81.apx EE-CO 39065 0
332 147966__300__8_8_14__81.apx SE-CO 117 0
333 147966__300__8_8_14__81.apx EE-ST 23293 0
334 147966__300__8_8_14__81.apx SE-ST 15239 0
335 147966__300__8_8_14__81.apx EE-PR 39060 0
336 147966__300__8_8_14__81.apx SE-PR 39089 0
337 148782__300__2_2_3__65.apx EE-GR 116 0
338 148782__300__2_2_3__65.apx SE-GR 116 0
339 148782__300__2_2_3__65.apx EE-CO 120003 124
340 148782__300__2_2_3__65.apx SE-CO 119 0
341 148782__300__2_2_3__65.apx EE-ST 120003 124
342 148782__300__2_2_3__65.apx SE-ST 120003 124
343 148782__300__2_2_3__65.apx EE-PR 120002 124
344 148782__300__2_2_3__65.apx SE-PR 120003 124
345 149598__400__3_3_40__5.apx EE-GR 104 0
346 149598__400__3_3_40__5.apx SE-GR 104 0
347 149598__400__3_3_40__5.apx EE-CO 120 0
348 149598__400__3_3_40__5.apx SE-CO 104 0
349 149598__400__3_3_40__5.apx EE-ST 112 0
350 149598__400__3_3_40__5.apx SE-ST 106 0
351 149598__400__3_3_40__5.apx EE-PR 120 0
352 149598__400__3_3_40__5.apx SE-PR 120 0
353 150857__400__3_11_34__79.apx EE-GR 103 0
354 150857__400__3_11_34__79.apx SE-GR 104 0
355 150857__400__3_11_34__79.apx EE-CO 4908 0
356 150857__400__3_11_34__79.apx SE-CO 105 0
357 150857__400__3_11_34__79.apx EE-ST 1141 0
358 150857__400__3_11_34__79.apx SE-ST 974 0
359 150857__400__3_11_34__79.apx EE-PR 4909 0
360 150857__400__3_11_34__79.apx SE-PR 4906 0
361 152085__300__12_12_26__22.apx EE-GR 122 0
362 152085__300__12_12_26__22.apx SE-GR 123 0
363 152085__300__12_12_26__22.apx EE-CO 385 0
364 152085__300__12_12_26__22.apx SE-CO 124 0
365 152085__300__12_12_26__22.apx EE-ST 289 0
366 152085__300__12_12_26__22.apx SE-ST 185 0
367 152085__300__12_12_26__22.apx EE-PR 388 0
368 152085__300__12_12_26__22.apx SE-PR 393 0
